x__0,x__1,x__2,x__3,x__4,x__5,x__6,x__7,x__8,x__9,x__10,x__11,x__12,x__13,x__14,x__15,x__16,x__17,x__18,x__19,y__0,y__1,y__2,y__3,y__4,y__5,y__6,y__7,y__8,y__9,y__10,y__11,y__12,y__13,y__14,y__15,y__16,y__17,y__18,y__19
18,0,16,24,13,29,12,14,16,0,26,17,0,12,0,27,12,29,16,25,0,16,24,13,29,12,14,16,0,26,17,0,12,0,27,12,29,16,25,31
27,23,12,14,16,25,14,36,2,0,20,31,0,17,32,16,23,30,0,26,23,12,14,16,25,14,36,2,0,20,31,0,17,32,16,23,30,0,26,32
12,25,15,0,25,12,18,12,30,12,22,20,0,12,29,16,0,22,25,26,25,15,0,25,12,18,12,30,12,22,20,0,12,29,16,0,22,25,26,34
26,26,23,0,24,12,22,20,25,18,1,0,26,32,29,0,12,13,20,23,26,23,0,24,12,22,20,25,18,1,0,26,32,29,0,12,13,20,23,20
33,16,29,0,4,3,3,1,3,3,3,0,21,12,27,12,25,16,30,16,16,29,0,4,3,3,1,3,3,3,0,21,12,27,12,25,16,30,16,0
0,12,25,15,0,24,26,30,31,0,27,26,34,16,29,17,32,23,0,26,12,25,15,0,24,26,30,31,0,27,26,34,16,29,17,32,23,0,26,17
29,36,0,27,16,26,27,23,16,0,32,25,15,16,29,30,31,12,25,15,36,0,27,16,26,27,23,16,0,32,25,15,16,29,30,31,12,25,15,0
29,0,31,19,26,32,18,19,31,30,1,0,26,32,29,0,20,24,12,18,0,31,19,26,32,18,19,31,30,1,0,26,32,29,0,20,24,12,18,20
0,31,29,32,31,19,1,0,12,25,15,0,36,16,31,0,31,19,16,0,31,29,32,31,19,1,0,12,25,15,0,36,16,31,0,31,19,16,0,34
29,26,30,19,20,24,12,11,0,34,16,0,14,26,24,16,0,31,26,0,26,30,19,20,24,12,11,0,34,16,0,14,26,24,16,0,31,26,0,27
16,0,15,16,30,31,29,26,36,16,15,0,12,0,14,20,31,36,0,12,0,15,16,30,31,29,26,36,16,15,0,12,0,14,20,31,36,0,12,25
0,12,25,15,0,27,16,12,14,16,0,12,25,15,0,29,20,18,19,31,12,25,15,0,27,16,12,14,16,0,12,25,15,0,29,20,18,19,31,16
24,12,22,16,30,0,34,12,29,0,23,16,30,30,0,23,20,22,16,23,12,22,16,30,0,34,12,29,0,23,16,30,30,0,23,20,22,16,23,36
25,30,0,12,25,15,0,31,29,16,12,31,20,16,30,0,31,19,12,31,30,0,12,25,15,0,31,29,16,12,31,20,16,30,0,31,19,12,31,0
31,26,14,22,27,20,23,16,30,1,0,34,16,0,24,32,30,31,0,19,26,14,22,27,20,23,16,30,1,0,34,16,0,24,32,30,31,0,19,12
