x__0,x__1,x__2,x__3,x__4,x__5,x__6,x__7,x__8,x__9,x__10,x__11,x__12,x__13,x__14,x__15,x__16,x__17,x__18,x__19,y__0,y__1,y__2,y__3,y__4,y__5,y__6,y__7,y__8,y__9,y__10,y__11,y__12,y__13,y__14,y__15,y__16,y__17,y__18,y__19
444,565,195,318,40,481,285,315,43,4,63,53,25,69,9,62,674,481,293,297,565,195,318,40,481,285,315,43,4,63,53,25,69,9,62,674,481,293,297,478
2,21,60,25,69,285,42,293,30,9,62,3,37,452,68,9,15,674,605,68,21,60,25,69,285,42,293,30,9,62,3,37,452,68,9,15,674,605,68,335
113,43,15,32,21,35,285,57,481,42,61,6,40,47,64,53,5,29,5,37,43,15,32,21,35,285,57,481,42,61,6,40,47,64,53,5,29,5,37,9
68,577,404,21,35,5,53,23,675,53,24,517,677,40,285,293,297,478,43,461,577,404,21,35,5,53,23,675,53,24,517,677,40,285,293,297,478,43,461,146
474,261,43,70,114,121,77,40,441,5,36,678,485,491,40,432,315,10,279,11,261,43,70,114,121,77,40,441,5,36,678,485,491,40,432,315,10,279,11,5
178,11,400,441,517,36,674,534,238,543,36,684,411,59,677,676,411,53,36,322,11,400,441,517,36,674,534,238,543,36,684,411,59,677,676,411,53,36,322,65
285,293,233,664,478,42,175,315,174,42,400,10,481,293,233,664,478,61,63,666,293,233,664,478,42,175,315,174,42,400,10,481,293,233,664,478,61,63,666,5
122,40,21,35,289,632,77,76,122,82,19,69,37,5,6,163,303,10,2,342,40,21,35,289,632,77,76,122,82,19,69,37,5,6,163,303,10,2,342,285
117,70,121,95,71,42,499,510,36,57,297,158,10,37,65,53,23,10,674,27,70,121,95,71,42,499,510,36,57,297,158,10,37,65,53,23,10,674,27,65
551,21,35,5,64,42,40,674,285,357,42,167,174,37,369,536,42,61,19,37,21,35,5,64,42,40,674,285,357,42,167,174,37,369,536,42,61,19,37,42
510,36,57,297,158,10,37,65,53,23,10,674,27,65,43,504,29,31,10,399,36,57,297,158,10,37,65,53,23,10,674,27,65,43,504,29,31,10,399,21
3,37,452,68,9,15,674,605,68,335,32,339,64,17,37,68,674,364,442,42,37,452,68,9,15,674,605,68,335,32,339,64,17,37,68,674,364,442,42,190
9,21,674,408,326,674,427,145,219,505,279,133,444,183,579,253,659,10,489,566,21,674,408,326,674,427,145,219,505,279,133,444,183,579,253,659,10,489,566,21
42,499,510,36,57,89,81,85,117,70,121,95,71,42,499,510,36,57,297,158,499,510,36,57,89,81,85,117,70,121,95,71,42,499,510,36,57,297,158,10
91,121,128,42,137,40,57,194,35,11,29,61,6,40,674,406,42,285,357,43,121,128,42,137,40,57,194,35,11,29,61,6,40,674,406,42,285,357,43,529
361,5,9,62,3,37,5,6,308,584,68,416,11,674,408,326,27,65,68,95,5,9,62,3,37,5,6,308,584,68,416,11,674,408,326,27,65,68,95,128
62,267,67,65,64,3,37,356,7,64,42,43,674,17,65,53,36,4,39,29,267,67,65,64,3,37,356,7,64,42,43,674,17,65,53,36,4,39,29,29
63,53,21,29,675,529,291,23,64,17,37,674,529,291,21,39,5,17,37,674,53,21,29,675,529,291,23,64,17,37,674,529,291,21,39,5,17,37,674,53
37,593,244,68,489,21,53,21,29,675,17,65,53,36,4,39,29,29,31,10,593,244,68,489,21,53,21,29,675,17,65,53,36,4,39,29,29,31,10,624
10,184,259,684,677,42,219,505,279,127,219,297,630,42,184,396,588,429,68,301,184,259,684,677,42,219,505,279,127,219,297,630,42,184,396,588,429,68,301,401
285,357,43,481,357,37,239,22,425,154,36,481,357,136,54,40,624,212,447,23,357,43,481,357,37,239,22,425,154,36,481,357,136,54,40,624,212,447,23,64
61,6,40,39,63,53,21,29,675,406,42,481,357,43,341,29,63,203,42,61,6,40,39,63,53,21,29,675,406,42,481,357,43,341,29,63,203,42,61,6
395,545,3,42,349,563,357,68,576,7,53,21,29,675,27,65,43,105,79,87,545,3,42,349,563,357,68,576,7,53,21,29,675,27,65,43,105,79,87,91
674,338,541,10,340,541,40,39,63,29,5,37,5,6,356,363,36,43,4,63,338,541,10,340,541,40,39,63,29,5,37,5,6,356,363,36,43,4,63,53
470,637,168,36,21,60,6,9,675,2,38,6,25,285,42,293,30,21,3,2,637,168,36,21,60,6,9,675,2,38,6,25,285,42,293,30,21,3,2,21
39,13,35,57,674,638,6,349,563,43,309,21,57,39,13,39,32,35,5,53,13,35,57,674,638,6,349,563,43,309,21,57,39,13,39,32,35,5,53,25
656,15,64,37,570,32,35,57,410,636,30,15,656,15,35,420,412,43,129,535,15,64,37,570,32,35,57,410,636,30,15,656,15,35,420,412,43,129,535,40
675,10,69,44,64,203,9,62,674,2,21,60,25,69,8,53,7,39,69,9,10,69,44,64,203,9,62,674,2,21,60,25,69,8,53,7,39,69,9,3
69,39,17,37,43,4,63,53,25,69,675,534,238,543,285,357,43,481,357,37,39,17,37,43,4,63,53,25,69,675,534,238,543,285,357,43,481,357,37,239
19,69,57,5,62,32,21,58,5,53,23,675,4,39,29,29,31,43,628,378,69,57,5,62,32,21,58,5,53,23,675,4,39,29,29,31,43,628,378,19
77,99,92,61,63,57,299,5,36,23,675,114,96,71,70,40,663,10,65,35,99,92,61,63,57,299,5,36,23,675,114,96,71,70,40,663,10,65,35,5
39,167,174,36,21,60,6,9,686,365,19,65,64,674,628,44,65,64,674,298,167,174,36,21,60,6,9,686,365,19,65,64,674,628,44,65,64,674,298,32
62,39,5,674,140,464,133,235,547,39,422,497,42,134,483,36,23,675,17,65,39,5,674,140,464,133,235,547,39,422,497,42,134,483,36,23,675,17,65,53
357,42,277,13,10,652,444,565,649,479,36,148,142,68,21,35,8,63,674,545,42,277,13,10,652,444,565,649,479,36,148,142,68,21,35,8,63,674,545,182
2,427,145,674,42,674,279,297,675,675,675,3,37,519,7,64,42,30,27,6,427,145,674,42,674,279,297,675,675,675,3,37,519,7,64,42,30,27,6,36
675,680,671,21,9,545,182,156,415,68,232,345,21,35,5,53,25,69,675,402,680,671,21,9,545,182,156,415,68,232,345,21,35,5,53,25,69,675,402,423
675,36,23,10,674,279,297,40,183,64,411,468,36,23,36,40,646,65,29,357,36,23,10,674,279,297,40,183,64,411,468,36,23,36,40,646,65,29,357,315
674,2,21,60,25,69,8,53,7,39,69,9,3,2,38,6,25,67,29,21,2,21,60,25,69,8,53,7,39,69,9,3,2,38,6,25,67,29,21,39
285,57,481,42,61,6,40,47,64,53,5,29,5,37,9,674,338,541,10,340,57,481,42,61,6,40,47,64,53,5,29,5,37,9,674,338,541,10,340,541
644,144,460,674,259,187,42,262,264,587,659,42,568,454,40,637,67,64,458,215,144,460,674,259,187,42,262,264,587,659,42,568,454,40,637,67,64,458,215,68
57,549,480,40,628,50,64,61,6,40,39,63,674,38,65,68,628,52,6,37,549,480,40,628,50,64,61,6,40,39,63,674,38,65,68,628,52,6,37,344
64,411,468,36,23,36,40,646,65,29,357,315,199,10,287,53,32,35,5,53,411,468,36,23,36,40,646,65,29,357,315,199,10,287,53,32,35,5,53,23
9,67,5,5,3,37,43,38,69,39,167,174,36,21,60,6,9,686,365,19,67,5,5,3,37,43,38,69,39,167,174,36,21,60,6,9,686,365,19,65
10,36,11,35,5,53,23,675,504,29,31,42,411,151,43,285,357,40,628,379,36,11,35,5,53,23,675,504,29,31,42,411,151,43,285,357,40,628,379,544
195,68,233,15,53,21,29,675,17,42,142,154,68,115,96,122,40,21,35,289,68,233,15,53,21,29,675,17,42,142,154,68,115,96,122,40,21,35,289,632
441,5,36,678,485,491,40,432,315,10,279,11,5,259,40,39,32,35,21,53,5,36,678,485,491,40,432,315,10,279,11,5,259,40,39,32,35,21,53,5
173,534,475,10,545,156,68,679,326,40,21,61,6,37,489,570,21,29,475,480,534,475,10,545,156,68,679,326,40,21,61,6,37,489,570,21,29,475,480,42
293,166,37,678,680,411,636,24,32,37,129,535,40,624,18,19,39,15,65,44,166,37,678,680,411,636,24,32,37,129,535,40,624,18,19,39,15,65,44,39
21,35,13,65,64,153,636,10,5,53,23,675,376,594,68,21,29,63,674,274,35,13,65,64,153,636,10,5,53,23,675,376,594,68,21,29,63,674,274,68
255,42,129,33,36,674,169,545,273,10,309,39,5,475,480,43,212,178,425,154,42,129,33,36,674,169,545,273,10,309,39,5,475,480,43,212,178,425,154,10
285,293,680,684,675,678,671,37,683,110,72,126,97,57,42,315,10,4,63,53,293,680,684,675,678,671,37,683,110,72,126,97,57,42,315,10,4,63,53,23
441,134,151,42,146,40,104,97,126,91,94,93,68,21,39,15,65,44,39,62,134,151,42,146,40,104,97,126,91,94,93,68,21,39,15,65,44,39,62,39
674,279,297,42,164,248,36,23,675,61,6,17,27,674,427,145,279,297,49,675,279,297,42,164,248,36,23,675,61,6,17,27,674,427,145,279,297,49,675,474
357,297,43,279,297,42,276,36,478,53,65,35,674,279,297,42,137,40,229,183,297,43,279,297,42,276,36,478,53,65,35,674,279,297,42,137,40,229,183,21
29,32,35,2,678,205,42,271,3,68,604,7,53,25,69,675,147,326,331,40,32,35,2,678,205,42,271,3,68,604,7,53,25,69,675,147,326,331,40,550
481,357,42,167,174,37,369,536,42,61,19,43,129,551,21,35,5,64,42,40,357,42,167,174,37,369,536,42,61,19,43,129,551,21,35,5,64,42,40,674
30,27,6,36,23,675,39,26,9,37,5,7,44,2,427,279,3,37,5,7,27,6,36,23,675,39,26,9,37,5,7,44,2,427,279,3,37,5,7,44
636,42,545,182,392,389,68,21,39,13,35,23,55,61,6,40,23,64,29,56,42,545,182,392,389,68,21,39,13,35,23,55,61,6,40,23,64,29,56,36
35,43,631,563,30,10,674,402,423,40,43,470,637,168,36,21,60,6,9,675,43,631,563,30,10,674,402,423,40,43,470,637,168,36,21,60,6,9,675,2
195,10,217,31,378,13,29,56,30,15,40,164,67,39,5,36,13,30,19,5,10,217,31,378,13,29,56,30,15,40,164,67,39,5,36,13,30,19,5,675
107,434,525,21,35,5,64,36,21,60,6,686,101,94,97,131,40,5,39,5,434,525,21,35,5,64,36,21,60,6,686,101,94,97,131,40,5,39,5,42
21,60,6,9,675,149,279,297,37,42,238,82,126,672,238,239,82,126,105,673,60,6,9,675,149,279,297,37,42,238,82,126,672,238,239,82,126,105,673,36
68,402,423,40,383,31,322,32,35,51,21,5,36,23,41,675,501,157,59,394,402,423,40,383,31,322,32,35,51,21,5,36,23,41,675,501,157,59,394,456
194,65,44,674,57,32,37,4,9,62,19,53,39,357,315,199,10,439,559,21,65,44,674,57,32,37,4,9,62,19,53,39,357,315,199,10,439,559,21,35
248,36,23,675,61,6,17,27,674,427,145,279,297,49,675,474,261,674,402,423,36,23,675,61,6,17,27,674,427,145,279,297,49,675,474,261,674,402,423,43
111,75,325,518,42,501,157,36,21,29,675,175,315,174,516,141,40,481,285,199,75,325,518,42,501,157,36,21,29,675,175,315,174,516,141,40,481,285,199,43
64,674,169,545,260,10,605,63,39,5,37,5,6,42,43,676,445,182,9,62,674,169,545,260,10,605,63,39,5,37,5,6,42,43,676,445,182,9,62,679
30,21,674,285,357,42,501,157,622,194,10,622,54,674,481,285,325,518,42,425,21,674,285,357,42,501,157,622,194,10,622,54,674,481,285,325,518,42,425,154
35,674,147,43,89,81,103,120,40,637,21,35,134,636,57,652,323,40,228,21,674,147,43,89,81,103,120,40,637,21,35,134,636,57,652,323,40,228,21,13
36,39,62,674,38,17,36,57,478,11,35,5,15,53,23,675,4,39,29,400,39,62,674,38,17,36,57,478,11,35,5,15,53,23,675,4,39,29,400,40
