x__0,x__1,x__2,x__3,x__4,x__5,x__6,x__7,x__8,x__9,x__10,x__11,x__12,x__13,x__14,x__15,x__16,x__17,x__18,x__19,y
685,674,417,666,10,655,280,266,279,42,677,675,682,683,674,131,158,40,43,409,249
279,674,313,431,279,674,347,313,279,674,336,203,279,39,38,42,262,400,259,512,279
674,169,545,371,59,327,507,260,42,61,6,39,476,269,36,293,166,42,501,157,357
39,29,10,29,10,356,7,64,17,37,27,42,57,42,10,674,4,39,29,10,29
398,505,494,10,184,259,684,677,42,219,505,279,127,219,297,630,42,184,396,588,429
69,39,134,483,36,57,674,29,37,7,651,450,40,39,32,35,36,57,674,478,11
21,39,13,35,23,55,61,6,40,23,64,29,56,36,23,675,89,81,103,120,43
57,543,268,40,559,11,29,5,674,146,37,537,10,32,35,5,29,5,37,5,6
534,238,543,36,684,411,59,677,676,411,53,36,322,65,39,5,674,37,5,6,543
545,182,40,2,223,207,23,64,3,37,5,6,570,555,68,164,6,42,43,70,73
60,6,675,293,166,37,678,680,411,636,24,32,37,129,535,40,624,18,19,39,15
43,106,74,112,100,88,113,37,5,6,285,357,623,215,36,23,10,674,106,74,112
10,63,40,8,311,68,569,32,35,5,29,42,40,449,50,35,674,147,43,89,81
37,402,423,36,197,42,73,71,114,126,88,107,94,81,87,97,70,42,329,138,30
182,9,62,679,445,182,53,36,43,674,169,545,273,677,146,341,29,63,10,381,341
269,10,4,39,29,29,31,68,343,32,35,5,53,23,675,27,42,23,44,62,21
79,116,121,70,40,208,7,303,142,127,545,182,68,17,39,19,39,15,65,44,39
42,54,40,229,208,68,583,56,64,481,293,83,128,81,122,10,4,64,37,542,11
38,65,57,549,480,40,628,50,64,61,6,40,39,63,674,38,65,68,628,52,6
57,277,5,37,356,5,53,23,675,402,423,36,43,549,195,42,207,68,478,9,23
36,21,60,6,9,675,149,279,297,37,42,238,82,126,672,238,239,82,126,105,673
64,153,636,10,5,53,23,675,376,594,68,21,29,63,674,274,68,279,40,21,35
29,42,686,402,423,42,446,236,40,239,357,365,541,43,5,29,42,686,586,57,588
195,501,157,40,39,32,35,21,53,5,53,21,29,675,680,676,326,203,674,402,423
501,157,40,47,19,67,21,5,201,331,575,571,40,609,496,643,21,29,62,5,5
64,279,146,68,592,199,21,35,5,64,9,62,36,23,675,27,65,40,309,293,218
40,657,339,32,35,622,297,21,29,481,285,297,478,68,343,32,35,5,64,42,43
560,21,29,398,505,494,42,381,341,541,10,674,17,69,39,82,114,126,97,68,616
675,30,9,62,285,293,43,674,549,195,10,369,536,10,5,5,17,37,59,674,427
43,39,13,674,27,6,5,6,45,37,46,37,68,209,15,64,29,56,40,164,32
203,674,504,10,427,145,279,297,40,603,155,21,29,37,11,674,504,43,398,297,630
616,50,29,61,6,40,285,357,42,277,13,10,652,444,565,649,479,36,148,142,68
311,68,569,32,35,5,29,42,40,449,50,35,674,147,43,89,81,103,120,40,637
539,68,377,62,65,35,11,29,42,36,23,675,27,6,59,32,35,427,279,40,657
671,42,285,293,297,478,449,473,43,674,279,297,641,40,39,64,37,171,273,587,506
127,118,87,106,84,72,19,69,10,402,423,68,574,65,35,2,285,293,395,545,3
25,32,9,13,42,146,424,68,282,32,35,5,53,23,675,17,17,77,99,92,127
5,9,62,3,37,5,6,308,584,68,416,11,674,408,326,27,65,68,95,128,111
65,64,61,6,40,39,63,53,21,29,675,504,10,297,478,30,32,29,17,66,674
63,53,21,29,675,17,65,43,147,402,40,550,64,53,36,674,244,489,21,29,63
10,624,18,21,35,11,29,297,430,43,674,91,95,111,75,325,518,42,501,157,36
29,57,42,36,23,10,674,259,450,42,277,396,459,57,27,42,394,456,68,392,383
37,356,32,35,5,53,23,675,148,142,36,42,87,97,123,87,59,315,199,68,233
285,57,481,42,61,6,40,47,64,53,5,29,5,37,9,674,338,541,10,340,541
